Auction ID,Auction Title,Fund,Auction Fee Total
79519,Dell Laptop w/Bag,General Fund,$18.05 
79530,21 Dell Optiplex 760 Computers,General Fund,$103.84 
79539,4 Asanti 24" Chrome Rims,Enterprise,$460.00 
79577,10Kt Yellow Gold Rope Chain,Enterprise,$187.45 
79589,Men's Diamond Watch,Enterprise,$105.80 
79618,Coach Purse,Enterprise,$6.67 
79630,1994 Pontiac Firebird,Enterprise,$130.64 
79662,Wheel Chair Lift,Enterprise,$36.56 
79667,1 Pallet of Assorted Tires,Enterprise,$24.38 
79706,3 Catalytic Converters,Enterprise,$28.75 
79730,Ladies Sunglasses,Enterprise,$17.71 
79733,Ladies Sunglasses,Enterprise,$14.26 
79736,Ladies Sunglasses,Enterprise,$33.35 
79737,Ladies Sunglasses,Enterprise,$6.67 
79743,Ladies Sunglasses,Enterprise,$18.40 
79744,4 Air Tanks,General Fund,$6.44 
79745,Sunglasses,Enterprise,$59.34 
79759,Southbend Fryer,Enterprise,$59.34 
79762,Desk,General Fund,$1.84 
79765,3 File Cabinets,General Fund,$7.61 
79792,2 Care Play Easels,General Fund,$14.95 
79799,Hammond Organ w/Bench,General Fund,$14.43 
79800,3 Sony 20" Televisions,General Fund,$0.46 
79824,Dell 17" Flat Screen Monitor,General Fund,$6.21 
79846,Clear Modem,Enterprise,$3.68 
79847,7 Stereo Headsets for iPhone,Enterprise,$8.28 
79848,11 Apple Dock Connectors to USB,Enterprise,$5.75 
79849,11 Apple Dock Connectors to USB,Enterprise,$8.74 
79850,5 USB 2.0 Dock Connectors to USB for iPhone,Enterprise,$3.91 
79851,8 Dock Connectors to USB for iPhone,Enterprise,$4.72 
79852,8 Dock Connectors to USB for iPhone,Enterprise,$4.71 
79859,9 Cell Phone Batteries,Enterprise,$5.52 
79860,13 Cube Stereo Hands Free Adaptors,Enterprise,$5.06 
79865,2 Gevey Sim Cards,Enterprise,$1.03 
79866,Sharp Cash Register w/Pin Identifier Unit,Enterprise,$4.60 
79874,Dell Laptop,General Fund,$17.25 
79876,Dell Laptop,General Fund,$16.79 
79881,Dell Laptop,General Fund,$14.95 
79883,Dell Computer System,General Fund,$16.90 
79885,Dell Computer System,General Fund,$14.60 
79895,8 Chairs,Enterprise,$19.33 
79900,7 Rugs,Enterprise,$35.65 
79910,1974 Cadillac Eldorado Convertible,Enterprise,$94.30 
79912,Storage Cabinet,Enterprise,$14.26 
79913,Winston Warmer,Enterprise,$11.50 
79914,2 Vollrath Warming Cabinets,Enterprise,$28.75 
79915,Hobart 512 TMS Slicer,Enterprise,$29.20 
79916,Hobart 512 Slicer,Enterprise,$23.69 
79918,Hobart 512 Slicer,Enterprise,$22.76 
79919,Hobart 512 TMS Slicer,Enterprise,$18.39 
79920,Hobart 512 TMS Slicer,Enterprise,$7.82 
79921,Hobart 410 Slicer,Enterprise,$3.68 
